epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,453.024,0.69053,0.88804,1.10117,0.90747,0.89833,0.92132,0.80403,0.60352,0.70647,0.9457,0.000643101,0.000643101,0.000643101
43,463.513,0.78878,0.93852,1.19829,0.88956,0.8598,0.92139,0.79468,0.62842,0.72111,0.96051,0.000628101,0.000628101,0.000628101
44,471.737,0.73298,0.87536,1.12386,0.93547,0.82466,0.92723,0.80247,0.59752,0.69045,0.96859,0.000612981,0.000612981,0.000612981
45,483.066,0.73102,0.91767,1.11129,0.93987,0.86389,0.96806,0.8397,0.6129,0.6096,0.98257,0.000597754,0.000597754,0.000597754
46,492.848,0.74319,0.88239,1.1314,0.94516,0.88587,0.95154,0.79339,0.69313,0.5995,1.0337,0.000582435,0.000582435,0.000582435
47,504.748,0.71551,0.83512,1.12931,0.85414,0.92746,0.95021,0.82483,0.64439,0.57067,1.00011,0.00056704,0.00056704,0.00056704
48,513.283,0.74173,0.88732,1.13627,0.85985,0.88095,0.9036,0.77669,0.62142,0.57708,0.98017,0.000551584,0.000551584,0.000551584
49,522.935,0.71881,0.85015,1.11913,0.80333,0.90527,0.89,0.76887,0.65691,0.6062,0.99474,0.000536081,0.000536081,0.000536081
50,533.694,0.72032,0.84602,1.12555,0.87995,0.89212,0.90823,0.79634,0.56915,0.56978,0.93102,0.000520548,0.000520548,0.000520548
51,545.073,0.72335,0.85734,1.11459,0.85662,0.89545,0.90976,0.81491,0.5508,0.55727,0.92241,0.000505,0.000505,0.000505
52,554.178,0.71337,0.79574,1.09115,0.68706,0.9662,0.91595,0.79305,0.58872,0.72125,0.93904,0.000489452,0.000489452,0.000489452
53,563.956,0.7076,0.76154,1.08343,0.76691,0.95933,0.94655,0.81263,0.59478,0.61592,0.96245,0.000473919,0.000473919,0.000473919
54,574.631,0.67863,0.78441,1.08358,0.86808,0.86412,0.96929,0.85029,0.53783,0.52866,0.9388,0.000458416,0.000458416,0.000458416
55,585.354,0.7147,0.78997,1.1243,0.92793,0.88355,0.95929,0.85977,0.51553,0.49962,0.91331,0.00044296,0.00044296,0.00044296
56,594.103,0.66669,0.75955,1.08685,0.94496,0.88905,0.94627,0.84995,0.53063,0.52257,0.90847,0.000427565,0.000427565,0.000427565
57,603.941,0.71767,0.8167,1.12268,0.9518,0.9009,0.94698,0.84537,0.50622,0.54422,0.89646,0.000412246,0.000412246,0.000412246
58,613.928,0.68416,0.75465,1.0985,0.93772,0.90102,0.94698,0.86703,0.51844,0.54392,0.90425,0.000397019,0.000397019,0.000397019
59,624.924,0.69549,0.79855,1.1086,0.94759,0.89015,0.95889,0.85935,0.54297,0.517,0.92934,0.000381899,0.000381899,0.000381899
60,635.357,0.66365,0.72574,1.08936,0.94746,0.89516,0.95889,0.87152,0.46516,0.48605,0.88681,0.000366899,0.000366899,0.000366899
61,643.843,0.66066,0.69589,1.08916,0.93691,0.89219,0.95889,0.86081,0.51831,0.49332,0.91165,0.000352037,0.000352037,0.000352037
62,655.173,0.71777,0.78565,1.12291,0.91715,0.90653,0.95929,0.85095,0.5304,0.50775,0.91504,0.000337325,0.000337325,0.000337325
63,664.928,0.66932,0.73551,1.08477,0.90242,0.89951,0.97119,0.87127,0.48919,0.51272,0.89518,0.000322778,0.000322778,0.000322778
64,674.244,0.69655,0.77091,1.11043,0.84229,0.98154,0.97119,0.86326,0.54666,0.54948,0.9286,0.000308412,0.000308412,0.000308412
65,684.432,0.6856,0.73186,1.09015,0.87976,0.9738,0.97119,0.8886,0.50803,0.53166,0.9134,0.000294239,0.000294239,0.000294239
66,694.6,0.676,0.74488,1.1107,0.88948,1,0.97119,0.90458,0.518,0.49165,0.91896,0.000280275,0.000280275,0.000280275
67,704.477,0.65959,0.70505,1.09424,0.88602,0.99881,0.97119,0.87979,0.5568,0.48778,0.93468,0.000266532,0.000266532,0.000266532
68,714.625,0.6354,0.67049,1.05177,0.94672,0.96985,0.995,0.90658,0.50133,0.46655,0.90436,0.000253024,0.000253024,0.000253024
69,725.073,0.67287,0.718,1.08549,0.93648,0.96835,0.99464,0.90724,0.49176,0.46378,0.89431,0.000239766,0.000239766,0.000239766
70,735.601,0.64741,0.69928,1.08433,0.92964,0.97812,0.99464,0.88826,0.56047,0.47041,0.91965,0.000226769,0.000226769,0.000226769
71,744.768,0.66937,0.7553,1.0967,0.94877,0.95577,0.995,0.8905,0.58069,0.47132,0.92596,0.000214046,0.000214046,0.000214046
72,755.05,0.65366,0.74631,1.07748,0.9359,0.9541,0.995,0.89972,0.50247,0.45659,0.8969,0.000201611,0.000201611,0.000201611
73,764.981,0.63532,0.68582,1.07332,0.9348,0.94366,0.995,0.89989,0.45623,0.45209,0.8799,0.000189475,0.000189475,0.000189475
74,774.952,0.64596,0.6813,1.08167,0.93577,0.93822,0.995,0.90736,0.46584,0.45129,0.88587,0.000177651,0.000177651,0.000177651
75,783.822,0.61938,0.69837,1.05801,0.93067,0.89059,0.97119,0.87961,0.48577,0.4527,0.89323,0.000166149,0.000166149,0.000166149
76,795.147,0.61375,0.66061,1.04936,0.93393,0.89531,0.95929,0.86669,0.47463,0.43656,0.8884,0.000154982,0.000154982,0.000154982
77,804.324,0.64554,0.71455,1.07946,0.93727,0.89693,0.95929,0.86931,0.46548,0.42987,0.88469,0.000144161,0.000144161,0.000144161
78,815.157,0.61677,0.68479,1.06545,0.94115,0.89054,0.95929,0.87439,0.46163,0.43092,0.88206,0.000133695,0.000133695,0.000133695
79,825.625,0.64383,0.69008,1.07116,0.93756,0.89448,0.95929,0.86739,0.46937,0.44106,0.88544,0.000123596,0.000123596,0.000123596
80,834.545,0.65133,0.70207,1.08746,0.94263,0.89646,0.95893,0.868,0.48892,0.44953,0.89279,0.000113873,0.000113873,0.000113873
81,844.495,0.63528,0.6699,1.06696,0.93611,0.94863,0.99429,0.89898,0.48762,0.44774,0.89114,0.000104537,0.000104537,0.000104537
82,855.956,0.60991,0.65024,1.04465,0.93033,0.95946,0.99393,0.91354,0.47277,0.44649,0.88251,9.55951e-05,9.55951e-05,9.55951e-05
83,863.539,0.5987,0.62799,1.03989,0.92172,0.98021,0.99314,0.92936,0.45365,0.44103,0.87541,8.70577e-05,8.70577e-05,8.70577e-05
84,873.573,0.64536,0.65249,1.06741,0.92802,0.97967,0.99314,0.92734,0.44194,0.42651,0.87102,7.89327e-05,7.89327e-05,7.89327e-05
85,883.75,0.60923,0.64369,1.0728,0.93015,0.98004,0.99393,0.92143,0.44637,0.41792,0.8728,7.12282e-05,7.12282e-05,7.12282e-05
86,893.915,0.60647,0.6572,1.05355,0.93373,0.97338,0.99393,0.92331,0.44864,0.41388,0.87321,6.39518e-05,6.39518e-05,6.39518e-05
87,902.836,0.63146,0.6908,1.079,0.93321,0.97305,0.99464,0.92322,0.45036,0.40573,0.87464,5.71106e-05,5.71106e-05,5.71106e-05
88,913.255,0.61206,0.6792,1.05846,0.92921,0.98143,0.99464,0.92011,0.45063,0.39122,0.87477,5.07115e-05,5.07115e-05,5.07115e-05
89,922.893,0.60824,0.63184,1.04453,0.92773,0.98242,0.99464,0.92122,0.44993,0.38601,0.87351,4.47606e-05,4.47606e-05,4.47606e-05
90,932.38,0.58206,0.58885,1.04024,0.95293,0.96289,0.995,0.91782,0.44812,0.38663,0.87238,3.9264e-05,3.9264e-05,3.9264e-05
91,948.041,0.48989,0.62602,0.96318,0.95464,0.97605,0.995,0.92676,0.44428,0.39998,0.86933,3.4227e-05,3.4227e-05,3.4227e-05
92,956.451,0.48246,0.59195,0.9971,0.96517,0.97936,0.995,0.92559,0.45044,0.42907,0.87228,2.96546e-05,2.96546e-05,2.96546e-05
93,965.447,0.47876,0.57732,1.00317,0.9652,0.9744,0.9931,0.90543,0.4619,0.44184,0.87834,2.55513e-05,2.55513e-05,2.55513e-05
94,975.945,0.49768,0.56759,0.97996,0.96642,0.97309,0.9931,0.90345,0.47423,0.45106,0.88498,2.19212e-05,2.19212e-05,2.19212e-05
95,984.567,0.47195,0.51607,0.97834,0.96574,0.97207,0.9931,0.90507,0.47462,0.45468,0.88639,1.87678e-05,1.87678e-05,1.87678e-05
96,993.582,0.48732,0.54728,0.97971,0.96514,0.971,0.9931,0.90938,0.46688,0.44788,0.8831,1.60943e-05,1.60943e-05,1.60943e-05
97,1003.94,0.46314,0.50875,0.94567,0.96572,0.97057,0.9931,0.91237,0.4588,0.43873,0.87957,1.39032e-05,1.39032e-05,1.39032e-05
98,1014.43,0.46367,0.50037,0.98532,0.96668,0.97065,0.9931,0.9118,0.45028,0.42768,0.87517,1.21968e-05,1.21968e-05,1.21968e-05
99,1022.4,0.46827,0.48869,0.97995,0.96733,0.97035,0.9931,0.91151,0.44192,0.42184,0.87187,1.09768e-05,1.09768e-05,1.09768e-05
100,1031.56,0.46825,0.48194,0.96651,0.96868,0.97132,0.9931,0.92748,0.43362,0.41165,0.86767,1.02443e-05,1.02443e-05,1.02443e-05
